season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090357,27,1,Manchester_United,Home,93868,76359,Phil Jones,phil-jones,D,False,,,2.0,21.0,39.0,60.0,2.0,6.0,13.0,,,,2.0,,,,6.0,7.0,,1.0,2.0,,,,,2.0,,,90.0,,,,1.0,,,,,7.0,,6.1,,,,5.0,,,,3.0,,24.0,43.0,67.0,0,1.0,76.0,,,,1.0
2016-17,7090357,27,1,Manchester_United,Home,111802,74208,Paul Pogba,paul-pogba,M,False,1.0,,6.0,46.0,30.0,75.0,2.0,,8.0,1.0,,,,,,2.0,5.0,6.0,,,1.0,,,,,1.0,4.0,,90.0,2.0,,,,,,,,24.0,,8.1,,,1.0,1.0,1.0,1.0,,10.0,,61.0,32.0,92.0,3,2.0,113.0,4.0,3.0,1.0,2.0
2016-17,7090357,27,1,Manchester_United,Home,190839,106760,Luke Shaw,luke-shaw,D,False,1.0,,1.0,30.0,18.0,47.0,1.0,,6.0,,,,,,,,1.0,6.0,,,,,,,,,2.0,,70.0,,,,,,,,,11.0,,7.6,,,,3.0,,4.0,,1.0,,36.0,20.0,52.0,0,4.0,74.0,1.0,2.0,,2.0
2016-17,7090357,27,1,Manchester_United,Home,191176,148225,Anthony Martial,anthony-martial,M,False,,,1.0,32.0,7.0,39.0,2.0,1.0,3.0,1.0,,,1.0,,,5.0,9.0,5.0,,,1.0,,,,,,1.0,,90.0,2.0,,,,,,,,22.0,,6.3,,,,1.0,3.0,10.0,,2.0,,47.0,7.0,44.0,2,,71.0,1.0,1.0,3.0,
2016-17,7090357,27,1,Manchester_United,Home,205508,109322,Jesse Lingard,jesse-lingard,F,True,,,2.0,10.0,3.0,13.0,1.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,20.0,,,,,,,,,2.0,,6.5,,,,,,,,2.0,,10.0,3.0,13.0,0,,16.0,1.0,,,
2016-17,7090357,27,1,Manchester_United,Home,814590,176297,Marcus Rashford,marcus-rashford,F,True,,,,4.0,1.0,5.0,,,1.0,,,1.0,,,,,2.0,2.0,,,1.0,,,,,,,,20.0,,,,,,,,,7.0,,6.5,,,,,3.0,2.0,,,,7.0,2.0,7.0,1,,16.0,,,2.0,
2016-17,7389497,28,1,Manchester_United,Away,751,13017,Wayne Rooney,wayne-rooney,F,False,,,1.0,19.0,9.0,28.0,4.0,2.0,5.0,,,,,,,2.0,6.0,3.0,,,,,,,,1.0,2.0,,90.0,,,,,,,,,16.0,,7.0,,,2.0,,1.0,3.0,,2.0,1.0,29.0,10.0,36.0,2,,49.0,3.0,,1.0,
2016-17,7389497,28,1,Manchester_United,Away,938,2404,Michael Carrick,michael-carrick,M,True,,,1.0,11.0,8.0,19.0,1.0,,1.0,,,,2.0,,,,3.0,,,,,,,,,,,,26.0,,,,,,,,,1.0,,6.2,,,,1.0,,,,1.0,,12.0,8.0,20.0,0,,21.0,,,,
2016-17,7389497,28,1,Manchester_United,Away,19352,40002,Matteo Darmian,matteo-darmian,D,False,,,,17.0,8.0,25.0,1.0,,3.0,,,,1.0,,,,3.0,2.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,,11.0,,6.9,,,,2.0,,,,3.0,,18.0,12.0,30.0,0,2.0,52.0,,,,2.0
2016-17,7389497,28,1,Manchester_United,Away,21764,41184,Marouane Fellaini,marouane-fellaini,F,False,,,,39.0,16.0,55.0,,5.0,6.0,,,1.0,2.0,,,1.0,5.0,7.0,,,,,,,,2.0,1.0,,75.0,,,,,,,,,11.0,,6.8,,,,5.0,2.0,,,1.0,,47.0,16.0,63.0,1,2.0,78.0,,,,2.0
