season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,blockedScoringAttempt,challengeLost,dispossessed,duelLost,duelWon,errorLeadToAGoal,fouls,goalAssist,goals,goodHighClaim,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,possessionLostCtrl,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,wasFouled,wonContest,wonTackle
2009-10,1062699,24,14,Liverpool,Home,16582,38328,David N'Gog,david-ngog,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,84.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062709,25,14,Liverpool,Home,1876,19520,Ryan Babel,ryan-babel,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,27.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062709,25,14,Liverpool,Home,3401,13308,Maxi Rodríguez,maxi-rodriguez,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062709,25,14,Liverpool,Home,16582,38328,David N'Gog,david-ngog,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,63.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062714,26,14,Liverpool,Away,1876,19520,Ryan Babel,ryan-babel,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,12.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062714,26,14,Liverpool,Away,3401,13308,Maxi Rodríguez,maxi-rodriguez,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062714,26,14,Liverpool,Away,16582,38328,David N'Gog,david-ngog,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062729,27,14,Liverpool,Away,1876,19520,Ryan Babel,ryan-babel,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,75.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062729,27,14,Liverpool,Away,2436,14402,Fernando Torres,fernando-torres,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,15.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062729,27,14,Liverpool,Away,3401,13308,Maxi Rodríguez,maxi-rodriguez,F,False,,,,,,,,,,,,,,,,,0.0,0.0,,,,63.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062729,27,14,Liverpool,Away,9737,13594,Yossi Benayoun,yossi-benayoun,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,27.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062739,28,14,Liverpool,Home,1876,19520,Ryan Babel,ryan-babel,F,True,,,,,,,,,,,,,,,,,0.0,0.0,,,,9.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062739,28,14,Liverpool,Home,2436,14402,Fernando Torres,fernando-torres,F,False,,,,,,,,,,,,,,,,,0.0,1.0,,,,89.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
2009-10,1062739,28,14,Liverpool,Home,3401,13308,Maxi Rodríguez,maxi-rodriguez,F,False,,,,,,,,,,,,,,,,,1.0,0.0,,,,90.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,
