season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576230,8,43,Manchester_City,Home,70996,61366,Kevin De Bruyne,kevin-de-bruyne,M,False,,,4.0,39.0,17.0,56.0,,,4.0,1.0,,,,,,2.0,3.0,2.0,,,,,1.0,,,,1.0,2.0,,84.0,1.0,,,,,,17.0,,7.7,,,,,,2.0,4.0,,7.0,,49.0,19.0,64.0,1,1.0,77.0,2.0,,1.0,
2021-22,9576230,8,43,Manchester_City,Home,158213,103025,Riyad Mahrez,riyad-mahrez,M,False,1.0,,5.0,47.0,10.0,56.0,2.0,,3.0,,,1.0,,,,2.0,7.0,3.0,,,,,,,,1.0,1.0,2.0,,90.0,1.0,,,,,,22.0,,7.3,,,2.0,,,4.0,7.0,,5.0,,58.0,11.0,62.0,4,,89.0,5.0,2.0,1.0,
2021-22,9576230,8,43,Manchester_City,Home,189061,114283,Jack Grealish,jack-grealish,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576230,8,43,Manchester_City,Home,331209,165809,Bernardo Silva,bernardo-silva,M,False,,,,39.0,21.0,60.0,,,1.0,,,,2.0,,,1.0,5.0,2.0,,,2.0,,1.0,,,,1.0,3.0,,89.0,1.0,,,,,,11.0,,7.6,,,2.0,,1.0,2.0,1.0,,2.0,,44.0,24.0,67.0,3,1.0,85.0,1.0,,1.0,1.0
2021-22,9576230,8,43,Manchester_City,Home,827606,220566,Rodri,rodri,M,False,,,4.0,50.0,42.0,92.0,2.0,4.0,7.0,,,,,,,,5.0,7.0,,,3.0,,,,,,1.0,,,90.0,,,,,,,5.0,,7.3,,,,,2.0,,,,6.0,,54.0,43.0,97.0,0,3.0,108.0,,,,2.0
2021-22,9576230,8,43,Manchester_City,Home,859765,209244,Phil Foden,phil-foden,M,False,,,1.0,40.0,10.0,50.0,2.0,,1.0,,,,,,,3.0,7.0,2.0,,,1.0,,,,,,,,,90.0,2.0,,,,,,20.0,,6.8,,,,,,3.0,6.0,,2.0,,52.0,11.0,57.0,2,,77.0,3.0,,2.0,
2021-22,9576230,8,43,Manchester_City,Home,982780,244851,Cole Palmer,cole-palmer,M,True,,,,4.0,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,5.0,,5.0,0,,6.0,,,1.0,
2021-22,9576113,9,43,Manchester_City,Away,13630,27789,Fernandinho,fernandinho,M,True,,,,10.0,3.0,13.0,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,15.0,,,,,,,3.0,,6.6,,,,,,,,,,,11.0,5.0,16.0,0,,18.0,,,,
2021-22,9576113,9,43,Manchester_City,Away,45853,59859,İlkay Gündoğan,ilkay-gundogan,M,False,2.0,,1.0,23.0,8.0,29.0,,,3.0,,,,1.0,,,1.0,2.0,2.0,,,,,1.0,,,,2.0,4.0,,75.0,1.0,,,,,,5.0,,8.0,,,,,1.0,,2.0,,2.0,,25.0,10.0,33.0,1,1.0,43.0,,1.0,,
2021-22,9576113,9,43,Manchester_City,Away,70996,61366,Kevin De Bruyne,kevin-de-bruyne,M,True,,,1.0,12.0,,12.0,2.0,,,1.0,,,,,,,2.0,,,,,,,,,,,4.0,,13.0,,,,,,,4.0,,7.0,,,,,,,,,1.0,,16.0,,16.0,0,,16.0,,,,
2021-22,9576113,9,43,Manchester_City,Away,158213,103025,Riyad Mahrez,riyad-mahrez,M,True,,,1.0,7.0,1.0,8.0,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,9.0,1.0,,,,,,2.0,,7.4,,,,,,,,,1.0,,7.0,1.0,8.0,1,,12.0,1.0,,,
2021-22,9576113,9,43,Manchester_City,Away,189061,114283,Jack Grealish,jack-grealish,M,False,,,1.0,17.0,6.0,23.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,3.0,6.0,,,,1.0,,,,,,3.0,,77.0,2.0,,,,,,10.0,,7.9,,,,,,3.0,,,2.0,,22.0,8.0,30.0,3,,43.0,2.0,3.0,2.0,
