season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767957,3,21,West_Ham_United,Home,74069,73889,Diafra Sakho,diafra-sakho,F,False,,,,12.0,2.0,14.0,8.0,6.0,3.0,,,,1.0,,,,12.0,8.0,,,,,,,,,1.0,,73.0,1.0,,,,,,,,6.5,,,1.0,,4.0,3.0,,,,23.0,2.0,22.0,2,,42.0,6.0,1.0,1.0
2015-16,6767957,3,21,West_Ham_United,Home,111004,82257,Raphael Spiegel,raphael-spiegel,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767957,3,21,West_Ham_United,Home,137844,80254,Carl Jenkinson,carl-jenkinson,D,False,,,3.0,12.0,7.0,19.0,2.0,1.0,5.0,,,,3.0,,,2.0,10.0,3.0,1.0,1.0,2.0,,,,,1.0,1.0,,79.0,,1.0,,1.0,,,,,4.3,,,,3.0,1.0,,,5.0,,13.0,11.0,24.0,0,2.0,41.0,1.0,,
2015-16,6767957,3,21,West_Ham_United,Home,220315,86934,Manuel Lanzini,manuel-lanzini,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767957,3,21,West_Ham_United,Home,792122,172567,Josh Cullen,cullen-josh,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768028,4,21,West_Ham_United,Away,9741,18073,Mark Noble,mark-noble,M,False,,,4.0,14.0,15.0,29.0,,,6.0,,,,1.0,,,,3.0,8.0,,,1.0,,1.0,,,1.0,1.0,,78.0,1.0,,,,,,,,7.5,,,1.0,1.0,3.0,1.0,,4.0,,16.0,15.0,30.0,2,1.0,46.0,1.0,5.0,2.0
2015-16,6768028,4,21,West_Ham_United,Away,13060,32259,Darren Randolph,darren-randolph,G,False,,1.0,7.0,6.0,1.0,7.0,,,7.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,7.2,,1.0,,,,,1.0,30.0,,29.0,1.0,30.0,0,,35.0,,,
2015-16,6768028,4,21,West_Ham_United,Away,14120,48717,Winston Reid,winston-reid,D,False,,,2.0,1.0,7.0,8.0,3.0,3.0,3.0,,,,,,,,3.0,5.0,,,,,,,,2.0,,,90.0,,1.0,,,,,,,7.3,,,1.0,10.0,,1.0,,5.0,,5.0,9.0,13.0,1,2.0,30.0,,,
2015-16,6768028,4,21,West_Ham_United,Away,14216,37901,Dimitri Payet,dimitri-payet,M,False,2.0,,1.0,21.0,15.0,34.0,,,4.0,,,,,,,,2.0,9.0,,,1.0,,,,,1.0,3.0,,88.0,,,,,,,,,7.6,,,,,5.0,8.0,,3.0,,31.0,17.0,40.0,0,1.0,69.0,3.0,4.0,4.0
2015-16,6768028,4,21,West_Ham_United,Away,20095,18818,Matt Jarvis,matt-jarvis,M,True,,,,3.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,4.0,,4.0,0,,5.0,,,
2015-16,6768028,4,21,West_Ham_United,Away,21164,40669,Angelo Ogbonna,angelo-ogbonna,D,False,,,4.0,8.0,6.0,14.0,5.0,1.0,3.0,,,,,,,,7.0,5.0,,,2.0,,,,,1.0,,,90.0,,2.0,,,,,,,7.0,,,,7.0,1.0,,,9.0,,14.0,9.0,23.0,0,2.0,39.0,,2.0,
2015-16,6768028,4,21,West_Ham_United,Away,32124,49413,James Tomkins,james-tomkins,D,False,,,2.0,18.0,18.0,36.0,1.0,,4.0,,,,,,,1.0,2.0,2.0,,,,,,,,1.0,,,90.0,,,,,,,,,6.9,,,,3.0,,,,9.0,,23.0,21.0,44.0,0,2.0,64.0,,,
2015-16,6768028,4,21,West_Ham_United,Away,43443,55459,Aaron Cresswell,aaron-cresswell,D,False,,,,6.0,12.0,18.0,,1.0,9.0,1.0,,,,,,,1.0,3.0,,,1.0,1.0,,,,3.0,2.0,,90.0,1.0,1.0,,,,,,,7.6,,,1.0,1.0,1.0,4.0,,7.0,,16.0,13.0,25.0,2,,44.0,1.0,1.0,1.0
2015-16,6768028,4,21,West_Ham_United,Away,45944,55037,Cheikhou Kouyaté,cheikhou-kouyate,M,False,,,,14.0,12.0,26.0,1.0,2.0,6.0,,,2.0,,,,,6.0,9.0,,,3.0,,,,,,,,90.0,1.0,,,,,,,,7.3,,,,,3.0,,,1.0,,19.0,14.0,33.0,3,5.0,49.0,1.0,1.0,1.0
2015-16,6768028,4,21,West_Ham_United,Away,46799,59779,Pedro Obiang,pedro-obiang,M,False,,,1.0,14.0,12.0,26.0,,3.0,6.0,,,,1.0,,,1.0,4.0,9.0,,,2.0,,,,,6.0,,,90.0,,1.0,,,,,,,7.4,,,,1.0,1.0,,,4.0,,19.0,14.0,33.0,0,4.0,50.0,,1.0,1.0
2015-16,6768028,4,21,West_Ham_United,Away,74069,73889,Diafra Sakho,diafra-sakho,F,False,,,,5.0,3.0,8.0,7.0,3.0,1.0,,,,,,,2.0,11.0,3.0,,,1.0,,1.0,,,1.0,,,89.0,1.0,,,,,,,,6.9,,,,1.0,1.0,,,,,11.0,4.0,15.0,1,,28.0,5.0,1.0,
2015-16,6768028,4,21,West_Ham_United,Away,111004,82257,Raphael Spiegel,raphael-spiegel,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768028,4,21,West_Ham_United,Away,220315,86934,Manuel Lanzini,manuel-lanzini,M,False,,,,15.0,13.0,28.0,,,9.0,,,1.0,,,,1.0,3.0,8.0,,,1.0,,1.0,,,1.0,,,82.0,1.0,,,,,,,,7.9,,,1.0,,1.0,1.0,,,,19.0,16.0,34.0,3,8.0,52.0,1.0,,
2015-16,6768028,4,21,West_Ham_United,Away,303604,149485,Elliott Lee,elliott-lee,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768028,4,21,West_Ham_United,Away,788768,173792,Reece Oxford,reece-oxford,D,True,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,2.0,,,8.0,,,,,,,,,6.7,,,,,,,,1.0,,1.0,1.0,2.0,0,,4.0,,,
2015-16,6768028,4,21,West_Ham_United,Away,792122,172567,Josh Cullen,cullen-josh,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,0,,1.0,,,
2015-16,6768028,4,21,West_Ham_United,Away,798081,,Kyle Knoyle,kyle-knoyle,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768028,4,21,West_Ham_United,Away,798468,111055,Martin Samuelsen,martin-samuelsen,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768042,5,21,West_Ham_United,Home,9729,8380,James Collins,james-collins,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768042,5,21,West_Ham_United,Home,9741,18073,Mark Noble,mark-noble,M,False,,,2.0,22.0,15.0,37.0,1.0,,4.0,,,,3.0,,,,5.0,4.0,,,2.0,1.0,,,,6.0,1.0,,90.0,,1.0,,,,,,,7.2,,,1.0,,1.0,,,5.0,,26.0,17.0,43.0,1,1.0,60.0,4.0,2.0,1.0
