season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385462,24,7,Aston_Villa,Home,250223,122806,John McGinn,john-mcginn,M,False,,,,10.0,5.0,15.0,,,3.0,,,,,,,,,6.0,,,0.0301649,0.0667,0.0517,,,,,,,1.0,,90.0,1.0,,,,,,,,7.0,,7.2,,,,,2.0,2.0,1.0,,,,14.0,6.0,19.0,1,4.0,35.0,2.0,,2.0,3.0
2022-23,10385462,24,7,Aston_Villa,Home,783126,195546,Emiliano Buendía,emiliano-buendia,M,False,,,1.0,10.0,9.0,19.0,3.0,1.0,6.0,,,,,,,4.0,9.0,6.0,,,0.00347217,0.0,0.0,2.0,,,,,,1.0,,67.0,,,,,,,,,13.0,,6.7,,,,,,2.0,,,3.0,,15.0,12.0,27.0,0,3.0,39.0,1.0,,2.0,2.0
2022-23,10385462,24,7,Aston_Villa,Home,808590,215711,Leon Bailey,leon-bailey,M,True,1.0,,,3.0,,2.0,,1.0,1.0,,,,,,,2.0,6.0,3.0,,,0.0428956,0.0579,0.0934,1.0,,,,,1.0,,,23.0,1.0,,,,,,,,9.0,,6.7,,,,,1.0,5.0,3.0,,,,7.0,,4.0,1,,18.0,,,2.0,
2022-23,10385462,24,7,Aston_Villa,Home,826204,226944,Boubacar Kamara,boubacar-kamara,M,False,,,2.0,11.0,17.0,28.0,,,4.0,,,,,,,1.0,2.0,5.0,,,0.0103219,0.0,0.0,1.0,,,,,,2.0,1.0,90.0,,,,,,,,,5.0,,7.0,,,,,4.0,2.0,,,3.0,,13.0,17.0,30.0,0,3.0,51.0,1.0,,2.0,3.0
2022-23,10385462,24,7,Aston_Villa,Home,867887,230046,Douglas Luiz,douglas-luiz,M,False,,,1.0,8.0,18.0,26.0,,,5.0,,,1.0,1.0,,,,1.0,3.0,,,0.00599107,0.0535,0.0,,,,,,,2.0,,67.0,,2.0,,,,,,,3.0,,7.0,,,1.0,,1.0,,,,2.0,,9.0,19.0,28.0,2,3.0,43.0,1.0,,,2.0
2022-23,10385462,24,7,Aston_Villa,Home,975937,232653,Jacob Ramsey,jacob-ramsey,M,True,,,,3.0,3.0,6.0,1.0,,1.0,,,,,,,,1.0,2.0,,,0.00294278,0.0,0.0,,,,,,,,1.0,28.0,,,,,,,,,,,6.7,,,,,1.0,1.0,,,,,3.0,3.0,6.0,0,1.0,11.0,,,1.0,1.0
2022-23,10385471,25,7,Aston_Villa,Away,190405,151589,Leander Dendoncker,leander-dendoncker,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385471,25,7,Aston_Villa,Away,250223,122806,John McGinn,john-mcginn,M,False,,,3.0,9.0,12.0,21.0,,1.0,5.0,1.0,,,2.0,,,,3.0,7.0,,,0.0330263,0.0244,0.0,1.0,1.0,,,,,1.0,1.0,90.0,,,,,,,,1.0,5.0,,7.8,,,1.0,,,3.0,1.0,,3.0,,13.0,13.0,25.0,1,2.0,37.0,,1.0,3.0,1.0
2022-23,10385471,25,7,Aston_Villa,Away,783126,195546,Emiliano Buendía,emiliano-buendia,M,True,,,,3.0,3.0,6.0,,,2.0,,,,4.0,,,3.0,7.0,3.0,,,0.0273312,0.2268,0.7783,2.0,,1.0,,,,1.0,2.0,29.0,1.0,,,,,,,,9.0,,6.7,,,,,,1.0,,,1.0,,3.0,5.0,8.0,1,1.0,20.0,4.0,1.0,1.0,
2022-23,10385471,25,7,Aston_Villa,Away,808590,215711,Leon Bailey,leon-bailey,M,False,,,4.0,6.0,4.0,10.0,3.0,,2.0,,,,1.0,,,2.0,9.0,1.0,,,0.0101175,0.0,0.0,3.0,,,,,,1.0,,61.0,,,,,,,,,10.0,,6.5,,,,,,,,,4.0,,10.0,6.0,16.0,0,,24.0,2.0,1.0,,
