season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352374,32,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,False,,,3.0,6.0,36.0,42.0,2.0,5.0,5.0,,,,,,,1.0,3.0,10.0,,,0.00207762,0.023,,,,,,,,1.0,,,90.0,,1.0,,,,,,17.0,,7.2,,,1.0,,8.0,,,,9.0,,15.0,43.0,58.0,1,4.0,77.0,,1.0,,3.0
2023-24,11352374,32,1,Manchester_United,Home,843200,216051,Diogo Dalot,diogo-dalot,D,False,1.0,,2.0,13.0,25.0,37.0,,1.0,6.0,1.0,,,3.0,,,,3.0,7.0,,,0.172179,,,,,,,,,2.0,1.0,,90.0,,1.0,,,,,,5.0,,7.4,,,,,2.0,1.0,1.0,,3.0,,14.0,28.0,41.0,0,4.0,58.0,,1.0,1.0,2.0
2023-24,11352374,32,1,Manchester_United,Home,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,,,2.0,12.0,12.0,24.0,1.0,,4.0,,,,,,,,3.0,3.0,,,0.0241788,,,1.0,1.0,,,,,1.0,2.0,,90.0,,2.0,,1.0,,,,7.0,,6.7,,,,,3.0,2.0,,,3.0,,14.0,14.0,28.0,0,2.0,49.0,2.0,,1.0,
2023-24,11352374,32,1,Manchester_United,Home,1136721,518466,Willy Kambwala,kambwala-willy,D,False,,,2.0,2.0,27.0,29.0,,1.0,1.0,,,,,,,,1.0,3.0,,,0.00024669,,,1.0,,,,,,2.0,,,90.0,,,,,,,,8.0,,6.4,,,,,2.0,,,,5.0,,6.0,30.0,36.0,0,1.0,46.0,1.0,1.0,,
2023-24,11352374,32,1,Manchester_United,Home,1150926,519325,Habeeb Ogunneye,ogunneye-habeeb,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352387,33,1,Manchester_United,Away,149380,95658,Harry Maguire,harry-maguire,D,False,,,2.0,15.0,51.0,66.0,1.0,5.0,9.0,,,,1.0,,,,2.0,8.0,,,0.0268219,0.0162,,,,,,,,,,,90.0,,2.0,,,,,,15.0,,7.1,,,1.0,,3.0,,,,6.0,,25.0,55.0,80.0,1,2.0,91.0,1.0,1.0,,2.0
2023-24,11352387,33,1,Manchester_United,Away,843200,216051,Diogo Dalot,diogo-dalot,D,False,1.0,,2.0,16.0,18.0,33.0,1.0,,5.0,,,,2.0,,,,9.0,5.0,,,0.0552676,,,4.0,,,,,,,1.0,,90.0,,,,,,,,11.0,,6.4,,,,,1.0,3.0,2.0,,5.0,1.0,18.0,22.0,38.0,0,4.0,62.0,1.0,,1.0,3.0
2023-24,11352387,33,1,Manchester_United,Away,863653,214590,Aaron Wan-Bissaka,aaron-wan-bissaka,D,False,,,4.0,22.0,10.0,32.0,2.0,2.0,3.0,,,,,,,,5.0,3.0,,,0.0461119,,,3.0,,,,,,2.0,1.0,,90.0,,1.0,,,,,,10.0,,6.9,,,,,2.0,,2.0,,5.0,,31.0,11.0,40.0,0,,57.0,,1.0,,
2023-24,11352387,33,1,Manchester_United,Away,1136721,518466,Willy Kambwala,kambwala-willy,D,False,,,1.0,5.0,26.0,31.0,1.0,4.0,5.0,,,,1.0,,,,4.0,5.0,1.0,,0.00416865,,,2.0,,,,,,2.0,,,90.0,,2.0,,,,,,7.0,,6.8,,,,,4.0,,,,4.0,,7.0,30.0,37.0,0,,51.0,1.0,1.0,,
2023-24,11352387,33,1,Manchester_United,Away,1150926,519325,Habeeb Ogunneye,ogunneye-habeeb,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
