season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436961,14,40,Ipswich_Town,Home,1010010,,Ali Al-Hamadi,ali-al-hamadi,F,True,,,,2.0,,2.0,1.0,,1.0,,,,,,,1.0,2.0,2.0,,,0.0058944,,,,0.0,,,,,,,,11.0,,,,,,,1.0,,6.7,,,,,,1.0,,,,,2.0,,2.0,0,,5.0,,1.0,1.0,
2024-25,12436462,15,40,Ipswich_Town,Home,911710,173818,Nathan Broadhead,nathan-broadhead,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436462,15,40,Ipswich_Town,Home,997087,463034,Liam Delap,liam-delap,F,False,,,,7.0,4.0,11.0,2.0,6.0,3.0,,1.0,1.0,,,,4.0,11.0,10.0,,,0.299987,0.3695,,4.0,0.0,,,,,,4.0,,81.0,,,,,,,22.0,,6.8,,,1.0,,2.0,3.0,,,1.0,,16.0,4.0,20.0,2,1.0,42.0,8.0,1.0,2.0,1.0
2024-25,12436462,15,40,Ipswich_Town,Home,1010010,,Ali Al-Hamadi,ali-al-hamadi,F,True,,,,,3.0,3.0,3.0,,1.0,,,,,,,,3.0,1.0,,,3.325e-05,,,,0.0,,,,,,,,9.0,,,,,,,3.0,,6.4,,,,,,,,,,,2.0,3.0,5.0,0,,7.0,1.0,1.0,,
2024-25,12436456,16,40,Ipswich_Town,Away,911710,173818,Nathan Broadhead,nathan-broadhead,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436456,16,40,Ipswich_Town,Away,997087,463034,Liam Delap,liam-delap,F,False,,,,7.0,3.0,10.0,,1.0,3.0,1.0,1.0,,,,,2.0,3.0,5.0,,,0.472299,0.3347,,,0.0,,,,,1.0,1.0,,84.0,,,,,,,10.0,,6.7,,,1.0,,1.0,3.0,,,1.0,3.0,11.0,3.0,14.0,1,,28.0,3.0,2.0,2.0,
2024-25,12436456,16,40,Ipswich_Town,Away,1010010,,Ali Al-Hamadi,ali-al-hamadi,F,True,,,,1.0,1.0,2.0,,,1.0,,,,,,,,,1.0,,,0.00293134,0.0601,,,0.0,,,,,,,,11.0,,,,,,,,,6.8,,,1.0,,,1.0,,,,,1.0,1.0,2.0,1,,4.0,,,1.0,
2024-25,12436467,17,40,Ipswich_Town,Home,911710,173818,Nathan Broadhead,nathan-broadhead,F,True,,,,4.0,1.0,5.0,,,,,,,,,,1.0,2.0,,,,0.0165068,0.0355,0.0755,,0.0,,,,,,1.0,,12.0,1.0,,,,,,5.0,,6.6,,,,,,1.0,,,,1.0,6.0,1.0,7.0,1,,14.0,1.0,,,
2024-25,12436467,17,40,Ipswich_Town,Home,1010010,,Ali Al-Hamadi,ali-al-hamadi,F,True,,,,6.0,1.0,7.0,4.0,1.0,1.0,,,2.0,1.0,,,1.0,9.0,4.0,,,0.0138741,0.2904,,3.0,0.0,,,,,,1.0,,45.0,,,,,,,4.0,,6.7,,,1.0,,,3.0,,,,,6.0,1.0,7.0,3,,18.0,2.0,1.0,2.0,
2024-25,12436472,18,40,Ipswich_Town,Away,911710,173818,Nathan Broadhead,nathan-broadhead,F,True,,,,7.0,1.0,8.0,,,,,,1.0,,,,,1.0,2.0,,,0.00595354,0.1198,,,0.0,,,,,1.0,,,10.0,,,,,,,1.0,,6.7,,,,,,3.0,,,,,7.0,1.0,8.0,1,,13.0,,,2.0,
