season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243687,29,3,Arsenal,Home,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243687,29,3,Arsenal,Home,888550,200089,Joe Willock,joe-willock,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8684149,30,3,Arsenal,Away,16176,37605,Mesut Özil,mesut-ozil,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8684149,30,3,Arsenal,Away,547838,182539,Dani Ceballos,dani-ceballos,M,False,1.0,,2.0,21.0,13.0,33.0,1.0,,3.0,,,,,,,2.0,4.0,4.0,,,1.0,,,,,1.0,3.0,87.0,,,,,,,14.0,,6.9,,,,,,2.0,5.0,,4.0,,31.0,14.0,40.0,0,1.0,55.0,1.0,1.0,2.0,
2019-20,8684149,30,3,Arsenal,Away,826139,200641,Reiss Nelson,reiss-nelson,M,True,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,2.0,,6.5,,,,,,,1.0,,,,4.0,,3.0,0,,5.0,1.0,,,
2019-20,8684149,30,3,Arsenal,Away,852404,242166,Mattéo Guendouzi,matteo-guendouzi,M,False,,,3.0,25.0,15.0,40.0,,,5.0,,,,,,,,2.0,2.0,,,1.0,,,,,1.0,,90.0,,1.0,,,,,6.0,,6.7,,,,,2.0,1.0,,,4.0,,27.0,16.0,43.0,0,,54.0,2.0,2.0,,
2019-20,8684149,30,3,Arsenal,Away,888550,200089,Joe Willock,joe-willock,M,True,,,,5.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,6.4,,,,,,,,,,,5.0,1.0,6.0,0,,7.0,,,,
2019-20,8684163,31,3,Arsenal,Away,16176,37605,Mesut Özil,mesut-ozil,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8684163,31,3,Arsenal,Away,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,2.0,15.0,23.0,38.0,,1.0,6.0,,,,3.0,,,,4.0,2.0,,,1.0,,,,,,,90.0,,,,,,,9.0,,6.4,,,,,,,,,4.0,,20.0,25.0,45.0,0,1.0,52.0,1.0,,,
2019-20,8684163,31,3,Arsenal,Away,547838,182539,Dani Ceballos,dani-ceballos,M,False,,,1.0,11.0,19.0,30.0,1.0,1.0,3.0,,,,2.0,,,,4.0,4.0,,,1.0,,,,,4.0,1.0,80.0,,,,,,,13.0,,7.1,,,,,2.0,,2.0,,3.0,,17.0,24.0,39.0,0,3.0,54.0,2.0,,,1.0
2019-20,8684163,31,3,Arsenal,Away,826139,200641,Reiss Nelson,reiss-nelson,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8684163,31,3,Arsenal,Away,888550,200089,Joe Willock,joe-willock,M,True,,,,9.0,2.0,11.0,,,,,,,,,,1.0,3.0,,,,1.0,,1.0,,,1.0,,26.0,1.0,,,,,,3.0,,7.0,,,,,,1.0,,,,,10.0,2.0,12.0,1,,18.0,,,,
2019-20,8684163,31,3,Arsenal,Away,991582,232241,Matthew Smith,matthew-smith,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8684171,32,3,Arsenal,Home,44760,58822,Cédric Soares,cedric-soares,M,True,1.0,,,6.0,1.0,6.0,,,1.0,,,,1.0,,,,1.0,3.0,,,,,1.0,,,1.0,,13.0,1.0,,,,,,4.0,,7.8,,,,,,,3.0,,,,8.0,3.0,8.0,1,3.0,16.0,,,,3.0
2019-20,8684171,32,3,Arsenal,Home,117777,84450,Granit Xhaka,granit-xhaka,M,False,,,2.0,26.0,23.0,49.0,2.0,,8.0,,,1.0,1.0,,,2.0,7.0,,,,2.0,,1.0,,,1.0,1.0,90.0,1.0,1.0,,,,,11.0,,7.1,,,,,,,1.0,,3.0,,28.0,24.0,51.0,2,,66.0,6.0,,,
2019-20,8684171,32,3,Arsenal,Home,547838,182539,Dani Ceballos,dani-ceballos,M,False,1.0,,1.0,37.0,24.0,60.0,,3.0,6.0,1.0,,,1.0,,,1.0,4.0,10.0,,,,,,,,4.0,1.0,90.0,,,,,,,11.0,,7.6,,,,,,4.0,3.0,,4.0,,43.0,25.0,65.0,0,1.0,84.0,1.0,4.0,2.0,1.0
2019-20,8684171,32,3,Arsenal,Home,826139,200641,Reiss Nelson,reiss-nelson,M,False,1.0,,2.0,12.0,5.0,16.0,1.0,,2.0,,,,,,,3.0,5.0,2.0,,,,,,,,,3.0,58.0,,,,,,,5.0,,6.8,,,,,,2.0,1.0,,3.0,,13.0,5.0,17.0,0,,25.0,,1.0,1.0,
