season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090094,14,13,Leicester_City,Away,148710,86417.0,Jeffrey Schlupp,jeffrey-schlupp,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090094,14,13,Leicester_City,Away,158213,103025.0,Riyad Mahrez,riyad-mahrez,M,False,,,3.0,19.0,12.0,31.0,2.0,1.0,8.0,,,2.0,1.0,,,,5.0,8.0,,,1.0,,,,,2.0,3.0,,73.0,,,,,,,,13.0,,7.2,,,,,1.0,3.0,,6.0,1.0,28.0,12.0,37.0,2,3.0,57.0,3.0,4.0,,2.0
2016-17,7090094,14,13,Leicester_City,Away,173827,101668.0,Jamie Vardy,jamie-vardy,F,False,,,,12.0,6.0,18.0,1.0,2.0,3.0,,,,,,,1.0,4.0,3.0,,,1.0,,,,,,,,90.0,,,,,,,,8.0,,6.7,,,2.0,,1.0,,,1.0,2.0,18.0,6.0,24.0,2,,30.0,,1.0,,
2016-17,7090094,14,13,Leicester_City,Away,238708,149828.0,Islam Slimani,islam-slimani,F,False,,,1.0,14.0,7.0,21.0,1.0,2.0,3.0,,,2.0,2.0,,,,6.0,4.0,,,3.0,,,,,,1.0,,68.0,,,,,,,,17.0,,6.8,,,1.0,,2.0,,,1.0,,23.0,8.0,31.0,3,,48.0,6.0,,2.0,
2016-17,7090094,14,13,Leicester_City,Away,260097,,Luis Hernández,luis-hernandez,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090094,14,13,Leicester_City,Away,308526,155569.0,Daniel Amartey,daniel-amartey,M,False,,,1.0,19.0,15.0,34.0,,1.0,6.0,,,,3.0,,,2.0,6.0,3.0,,,1.0,,,,,1.0,2.0,,90.0,,1.0,,,,,,10.0,,6.7,,,,1.0,,1.0,,2.0,,26.0,15.0,40.0,0,2.0,54.0,1.0,,,1.0
2016-17,7090094,14,13,Leicester_City,Away,355152,172632.0,Demarai Gray,demarai-gray,M,True,1.0,,,3.0,2.0,4.0,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,17.0,,,,,,,,4.0,,6.9,,,,,2.0,3.0,,,,6.0,2.0,5.0,0,,10.0,,,1.0,
2016-17,7090180,15,13,Leicester_City,Home,1203,12413.0,Robert Huth,robert-huth,D,False,,,1.0,4.0,2.0,6.0,1.0,5.0,1.0,1.0,,,,,,,1.0,6.0,,,,,,,,1.0,1.0,,90.0,,1.0,,,,,,2.0,,7.1,,,,7.0,,,,2.0,,6.0,2.0,8.0,0,1.0,19.0,,,,1.0
2016-17,7090180,15,13,Leicester_City,Home,1262,37402.0,Christian Fuchs,christian-fuchs,D,False,,,2.0,6.0,3.0,9.0,,,3.0,,,,2.0,,,,3.0,4.0,,,1.0,,,,,2.0,1.0,,90.0,,1.0,,,,,,12.0,,6.8,,,,7.0,1.0,1.0,,8.0,,14.0,4.0,17.0,0,3.0,44.0,,,1.0,3.0
2016-17,7090180,15,13,Leicester_City,Home,16807,38038.0,Ben Hamer,ben-hamer,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090180,15,13,Leicester_City,Home,19303,78412.0,Shinji Okazaki,shinji-okazaki,F,True,,,,,1.0,1.0,2.0,,,,,,,,,2.0,6.0,,,,2.0,,,,,,,,12.0,,,,,,,,2.0,,6.3,,,,1.0,,,,,,,1.0,1.0,0,,7.0,,,,
2016-17,7090180,15,13,Leicester_City,Home,20375,15033.0,Wes Morgan,wes-morgan,D,False,,,,1.0,3.0,4.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,90.0,,2.0,,,,,,2.0,,6.7,,,,7.0,,,,1.0,,2.0,4.0,6.0,0,,16.0,,1.0,,
2016-17,7090180,15,13,Leicester_City,Home,30502,40725.0,Danny Simpson,danny-simpson,D,False,,,1.0,,6.0,6.0,2.0,,4.0,,,,,,,,4.0,2.0,,,2.0,,,,,1.0,,,90.0,,,,,,,,6.0,,6.3,,,,4.0,,,,5.0,,5.0,6.0,11.0,0,1.0,28.0,,1.0,,1.0
2016-17,7090180,15,13,Leicester_City,Home,30530,13152.0,Andy King,andy-king,M,False,,,1.0,11.0,7.0,18.0,1.0,2.0,4.0,,,,1.0,,,,3.0,3.0,,,1.0,,1.0,,,3.0,,,90.0,1.0,2.0,,,,,,8.0,,7.1,,,,4.0,,1.0,,3.0,,17.0,7.0,23.0,1,1.0,38.0,1.0,,,1.0
2016-17,7090180,15,13,Leicester_City,Home,41615,51934.0,Ron-Robert Zieler,ron-robert-zieler,G,False,,,9.0,7.0,2.0,9.0,,,6.0,,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,,,,23.0,2.0,6.3,1.0,2.0,,4.0,,,,32.0,,30.0,2.0,32.0,0,,40.0,,,,
2016-17,7090180,15,13,Leicester_City,Home,47737,51938.0,Marc Albrighton,marc-albrighton,M,False,3.0,,2.0,10.0,3.0,10.0,,,5.0,1.0,,,4.0,,,,5.0,3.0,,,1.0,,,,,1.0,3.0,,90.0,,1.0,,,,,,13.0,,6.9,,,,4.0,,4.0,,6.0,,21.0,4.0,21.0,0,3.0,39.0,1.0,,,2.0
2016-17,7090180,15,13,Leicester_City,Home,54331,61604.0,Matty James,matty-james,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090180,15,13,Leicester_City,Home,123166,86881.0,Nampalys Mendy,nampalys-mendy,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090180,15,13,Leicester_City,Home,139502,90714.0,Ahmed Musa,ahmed-musa,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090180,15,13,Leicester_City,Home,158213,103025.0,Riyad Mahrez,riyad-mahrez,M,False,,,2.0,10.0,7.0,17.0,1.0,,10.0,1.0,,1.0,3.0,,,,6.0,7.0,,,,1.0,,,,1.0,1.0,,89.0,1.0,,,,,,,8.0,,7.2,,,,3.0,4.0,,,2.0,,13.0,8.0,21.0,2,3.0,40.0,1.0,2.0,2.0,2.0
2016-17,7090180,15,13,Leicester_City,Home,173827,101668.0,Jamie Vardy,jamie-vardy,F,False,,,,6.0,6.0,12.0,3.0,6.0,4.0,,,,1.0,,,1.0,8.0,10.0,,,2.0,,3.0,,,1.0,,,88.0,3.0,,,,,,,13.0,,9.0,,,,,3.0,,,,,14.0,7.0,21.0,3,1.0,35.0,2.0,1.0,2.0,1.0
