season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437749,4,14,Liverpool,Away,10406,66797,Simon Mignolet,simon-mignolet,G,False,,1.0,5.0,2.0,21.0,23.0,,,10.0,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,90.0,,,,,,,,10.0,,6.3,3.0,6.0,,,1.0,,2.0,15.0,,9.0,24.0,33.0,0,,49.0,,,1.0,
2017-18,7437749,4,14,Liverpool,Away,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,,,,5.0,4.0,9.0,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,45.0,,,,,,,,3.0,,6.5,,,,1.0,,1.0,,,,6.0,4.0,9.0,0,1.0,17.0,1.0,,,
2017-18,7437749,4,14,Liverpool,Away,20963,40755,Daniel Sturridge,daniel-sturridge,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437749,4,14,Liverpool,Away,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,,6.0,7.0,13.0,1.0,,1.0,,,,,,,,1.0,2.0,,,,,,,,1.0,,,58.0,,,,,,,,8.0,,6.4,,,,,,,,1.0,,11.0,7.0,18.0,0,1.0,24.0,2.0,1.0,,
2017-18,7437749,4,14,Liverpool,Away,39480,38454,Dejan Lovren,dejan-lovren,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437749,4,14,Liverpool,Away,42694,56979,Jordan Henderson,jordan-henderson,M,False,1.0,,2.0,16.0,26.0,41.0,1.0,,14.0,,,,,,,,3.0,,,,1.0,,,,,2.0,1.0,,90.0,,,,,,,,15.0,,6.4,,,1.0,2.0,1.0,2.0,,4.0,,25.0,31.0,54.0,1,,64.0,,,,
2017-18,7437749,4,14,Liverpool,Away,51501,60914,Joël Matip,joel-matip,D,False,,,5.0,2.0,27.0,29.0,,,4.0,,,,,,,1.0,3.0,3.0,,,2.0,,,,,5.0,,,90.0,,,,,,,,8.0,,6.6,,,,5.0,,,,8.0,1.0,8.0,28.0,36.0,0,3.0,51.0,,,,
2017-18,7437749,4,14,Liverpool,Away,138156,112338,Emre Can,emre-can,D,False,,,,10.0,25.0,35.0,1.0,,7.0,,,,,,,1.0,3.0,3.0,,,1.0,,,,,3.0,,,90.0,1.0,,,,,,,11.0,,6.8,,,1.0,3.0,1.0,,,2.0,,15.0,29.0,44.0,2,1.0,61.0,1.0,1.0,1.0,
2017-18,7437749,4,14,Liverpool,Away,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,1.0,12.0,3.0,15.0,2.0,,2.0,,,,1.0,,,2.0,8.0,2.0,,,1.0,,,,,,,,67.0,1.0,,,,,,,12.0,,6.3,,,,,2.0,,,1.0,,14.0,4.0,18.0,1,1.0,32.0,4.0,1.0,,
2017-18,7437749,4,14,Liverpool,Away,159665,118748,Mohamed Salah,mohamed-salah,M,False,,,,8.0,3.0,11.0,,,3.0,,1.0,,,,,2.0,4.0,4.0,,,,,,,,,1.0,,45.0,1.0,,,,,,,8.0,,6.8,,,,,5.0,,,,,11.0,4.0,15.0,1,,25.0,,1.0,3.0,
2017-18,7437749,4,14,Liverpool,Away,174135,104542,Loris Karius,loris-karius,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437749,4,14,Liverpool,Away,217704,110979,Sadio Mané,sadio-mane,M,False,,,,6.0,1.0,7.0,,,1.0,1.0,,,,,,,2.0,5.0,,,2.0,,,,,,1.0,,37.0,,,,,,,,3.0,,6.0,,,,,2.0,,,,,9.0,1.0,10.0,0,,16.0,,3.0,2.0,
2017-18,7437749,4,14,Liverpool,Away,229740,100059,Alberto Moreno,alberto-moreno,D,False,,,2.0,8.0,22.0,30.0,3.0,1.0,1.0,,,2.0,,,,,3.0,3.0,,,,,,,,1.0,1.0,,90.0,,,,,,,,8.0,,6.1,,,,1.0,1.0,3.0,,3.0,,16.0,22.0,35.0,2,,50.0,,1.0,1.0,
2017-18,7437749,4,14,Liverpool,Away,318927,171287,Joe Gomez,joe-gomez,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437749,4,14,Liverpool,Away,361420,154566,Dominic Solanke,dominic-solanke,F,True,,,,4.0,3.0,7.0,1.0,1.0,2.0,,,,,,,2.0,3.0,3.0,,,,,,,,,,,23.0,,,,,,,,4.0,,6.6,,,,,1.0,,,,,5.0,4.0,9.0,0,1.0,13.0,,,1.0,
