season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437762,3,11,Everton,Away,188407,108438,Sandro Ramírez,sandro-ramirez,M,False,,,,8.0,6.0,14.0,1.0,,1.0,,,,,,2.0,4.0,3.0,,,,,,,,,,62.0,,,,,,,,9.0,,6.5,,,1.0,,1.0,,,,,9.0,7.0,16.0,1,1.0,31.0,4.0,2.0,,
2017-18,7437762,3,11,Everton,Away,361310,153673,Jonjoe Kenny,jonjoe-kenny,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437762,3,11,Everton,Away,372344,177815,Dominic Calvert-Lewin,dominic-calvert-lewin,F,True,,,,6.0,1.0,7.0,4.0,3.0,1.0,,,,,,,7.0,5.0,,,2.0,,,,,,,28.0,,,,,,,,5.0,,6.8,,,,,2.0,1.0,,,,8.0,1.0,8.0,0,,16.0,2.0,1.0,1.0,
2017-18,7437762,3,11,Everton,Away,781544,194164,Mason Holgate,mason-holgate,D,False,,,3.0,11.0,10.0,21.0,4.0,1.0,6.0,,,,1.0,,,6.0,3.0,,,,,,,,,1.0,90.0,,,,,,,,22.0,,6.4,,,,3.0,3.0,2.0,,8.0,,23.0,14.0,35.0,0,,58.0,2.0,,2.0,
2017-18,7437762,3,11,Everton,Away,795058,173807,Tom Davies,tom-davies,M,False,,,2.0,10.0,15.0,25.0,,,3.0,,,,2.0,,,2.0,4.0,,,,,,,,2.0,,45.0,,,,,,,,5.0,,6.7,,,,,,,,2.0,,15.0,15.0,30.0,0,4.0,37.0,,,,
2017-18,7437762,3,11,Everton,Away,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437756,4,11,Everton,Home,751,13017,Wayne Rooney,wayne-rooney,F,False,,,3.0,17.0,11.0,28.0,1.0,2.0,5.0,,1.0,1.0,,,3.0,6.0,5.0,,,2.0,,,,,,2.0,90.0,,,,,,,,16.0,,6.3,,,1.0,1.0,,1.0,,7.0,1.0,25.0,13.0,37.0,2,1.0,54.0,2.0,2.0,,
2017-18,7437756,4,11,Everton,Home,1941,10318,Maarten Stekelenburg,maarten-stekelenburg,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437756,4,11,Everton,Home,3593,26901,Kevin Mirallas,kevin-mirallas,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437756,4,11,Everton,Home,9766,12745,Leighton Baines,leighton-baines,D,False,5.0,,1.0,27.0,23.0,45.0,2.0,,8.0,1.0,,,,,1.0,5.0,3.0,,,,,,,,,3.0,90.0,,,,,,,,19.0,,6.9,,,,6.0,5.0,8.0,,4.0,,39.0,25.0,56.0,0,,87.0,,,3.0,
2017-18,7437756,4,11,Everton,Home,10507,7645,Phil Jagielka,phil-jagielka,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437756,4,11,Everton,Home,20204,19159,Ashley Williams,ashley-williams,D,False,,,1.0,10.0,40.0,50.0,,1.0,5.0,,,,,,,2.0,4.0,,,2.0,,,,,2.0,,90.0,,1.0,,,,,,8.0,,6.4,,,,2.0,,,,5.0,2.0,16.0,42.0,58.0,0,2.0,67.0,,1.0,,
2017-18,7437756,4,11,Everton,Home,27009,42774,Morgan Schneiderlin,morgan-schneiderlin,M,False,,,2.0,14.0,25.0,39.0,,,5.0,,,,4.0,,1.0,5.0,4.0,,,,,,,,6.0,,90.0,,,,,,,,9.0,,6.6,,,,3.0,,,,6.0,,21.0,25.0,46.0,0,4.0,62.0,1.0,,,
2017-18,7437756,4,11,Everton,Home,43192,55422,Gylfi Sigurðsson,gylfi-sigursson,M,False,1.0,,1.0,22.0,9.0,30.0,2.0,1.0,1.0,,,3.0,1.0,,1.0,5.0,4.0,,,,,,,,,1.0,90.0,,1.0,,,,,,9.0,,6.7,,,1.0,,2.0,5.0,,1.0,,28.0,9.0,32.0,4,1.0,53.0,1.0,1.0,1.0,
2017-18,7437756,4,11,Everton,Home,73763,56192,Cuco Martina,cuco-martina,D,False,2.0,,5.0,26.0,20.0,44.0,1.0,1.0,2.0,,,,,,,6.0,3.0,,1.0,5.0,,,,,2.0,3.0,90.0,,,,,,,,16.0,,6.4,,,,3.0,,7.0,,8.0,,35.0,22.0,50.0,0,2.0,75.0,1.0,,,
2017-18,7437756,4,11,Everton,Home,97410,109065,Davy Klaassen,davy-klaassen,M,False,,,,8.0,4.0,12.0,1.0,,1.0,,,,,,,2.0,1.0,,,1.0,,,,,1.0,,45.0,,,,,,,,4.0,,6.4,,,,,,1.0,,,,11.0,4.0,14.0,0,,19.0,1.0,1.0,,
